Symbol,Side,Entry Price,Exit Price,Quantity,Leverage,Entry Time,Exit Time,PnL %,PnL Amount,Status
SOL-USDT,SHORT,100.0,100.0,2.0,20,0,0,0.0,0.0,OPEN
XRP-USDT,LONG,100.0,102.19,1.0,20,0,0,2.19,2.19,STOP_LOSS
SOL-USDT,LONG,100.0,100.0,2.0,20,1000,1000,0.0,0.0,OPEN
SOL-USDT,LONG,100.0,100.0,2.0,20,1000,1000,0.0,0.0,OPEN
SOL-USDT,LONG,100.0,100.0,2.0,20,1000,1000,0.0,0.0,OPEN
SOL-USDT,LONG,100.0,102.5,1.0,20,1000,1010,2.5,2.5,PARTIAL_TP
SOL-USDT,LONG,100.0,100.0,2.0,20,1000,1000,0.0,0.0,OPEN
SOL-USDT,LONG,100.0,102.5,1.0,20,1000,1010,2.5,2.5,PARTIAL_TP
SOL-USDT,LONG,100.0,100.0,2.0,20,1000,1000,0.0,0.0,OPEN
SOL-USDT,LONG,100.0,102.5,1.0,20,1000,1010,2.5,2.5,PARTIAL_TP
SOL-USDT,LONG,100.0,100.0,2.0,20,1000,1000,0.0,0.0,OPEN
SOL-USDT,LONG,100.0,102.5,1.0,20,1000,1010,2.5,2.5,PARTIAL_TP
SOL-USDT,LONG,100.0,100.0,2.0,20,1000,1000,0.0,0.0,OPEN
SOL-USDT,LONG,100.0,102.5,1.0,20,1000,1010,2.5,2.5,PARTIAL_TP
SOL-USDT,LONG,100.0,100.0,2.0,20,1000,1000,0.0,0.0,OPEN
SOL-USDT,LONG,100.0,102.5,1.0,20,1000,1010,2.5,2.5,PARTIAL_TP
SOL-USDT,LONG,100.0,100.0,2.0,20,1000,1000,0.0,0.0,OPEN
SOL-USDT,LONG,100.0,102.5,1.0,20,1000,1010,2.5,2.5,PARTIAL_TP
SOL-USDT,LONG,100.0,100.0,2.0,20,1000,1000,0.0,0.0,OPEN
SOL-USDT,LONG,100.0,102.5,1.0,20,1000,1010,2.5,2.5,PARTIAL_TP
SOL-USDT,LONG,100.0,100.0,2.0,20,1000,1000,0.0,0.0,OPEN
SOL-USDT,LONG,100.0,102.5,1.0,20,1000,1010,2.5,2.5,PARTIAL_TP
SOL-USDT,LONG,100.0,100.0,2.0,20,1000,1000,0.0,0.0,OPEN
SOL-USDT,LONG,100.0,102.5,1.0,20,1000,1010,2.5,2.5,PARTIAL_TP
SOL-USDT,LONG,100.0,100.0,2.0,20,1000,1000,0.0,0.0,OPEN
SOL-USDT,LONG,100.0,102.5,1.0,20,1000,1010,2.5,2.5,PARTIAL_TP
SOL-USDT,LONG,100.0,100.0,2.0,20,1000,1000,0.0,0.0,OPEN
SOL-USDT,LONG,100.0,102.5,1.0,20,1000,1010,2.5,2.5,PARTIAL_TP
SOL-USDT,LONG,100.0,100.0,2.0,20,1000,1000,0.0,0.0,OPEN
SOL-USDT,LONG,100.0,102.5,1.0,20,1000,1010,2.5,2.5,PARTIAL_TP
SOL-USDT,LONG,100.0,100.0,2.0,20,1000,1000,0.0,0.0,OPEN
SOL-USDT,LONG,100.0,102.5,1.0,20,1000,1010,2.5,2.5,PARTIAL_TP
SOL-USDT,LONG,100.0,100.0,2.0,20,1000,1000,0.0,0.0,OPEN
SOL-USDT,LONG,100.0,102.5,1.0,20,1000,1010,2.5,2.5,PARTIAL_TP
SOL-USDT,LONG,100.0,100.0,2.0,20,1000,1000,0.0,0.0,OPEN
SOL-USDT,LONG,100.0,102.5,1.0,20,1000,1010,2.5,2.5,PARTIAL_TP
SOL-USDT,LONG,100.0,100.0,2.0,20,1000,1000,0.0,0.0,OPEN
SOL-USDT,LONG,100.0,102.5,1.0,20,1000,1010,2.5,2.5,PARTIAL_TP
SOL-USDT,LONG,100.0,100.0,2.0,20,1000,1000,0.0,0.0,OPEN
SOL-USDT,LONG,100.0,102.5,1.0,20,1000,1010,2.5,2.5,PARTIAL_TP
SOL-USDT,LONG,100.0,100.0,2.0,20,1000,1000,0.0,0.0,OPEN
SOL-USDT,LONG,100.0,102.5,1.0,20,1000,1010,2.5,2.5,PARTIAL_TP
SOL-USDT,LONG,100.0,100.0,2.0,20,1000,1000,0.0,0.0,OPEN
SOL-USDT,LONG,100.0,102.5,1.0,20,1000,1010,2.5,2.5,PARTIAL_TP
SOL-USDT,LONG,100.0,100.0,2.0,20,1000,1000,0.0,0.0,OPEN
SOL-USDT,LONG,100.0,102.5,1.0,20,1000,1010,2.5,2.5,PARTIAL_TP
SOL-USDT,LONG,100.0,100.0,2.0,20,1000,1000,0.0,0.0,OPEN
SOL-USDT,LONG,100.0,102.5,1.0,20,1000,1010,2.5,2.5,PARTIAL_TP
SOL-USDT,LONG,100.0,100.0,2.0,20,1000,1000,0.0,0.0,OPEN
SOL-USDT,LONG,100.0,102.5,1.0,20,1000,1010,2.5,2.5,PARTIAL_TP
SOL-USDT,LONG,100.0,100.0,2.0,20,1000,1000,0.0,0.0,OPEN
SOL-USDT,LONG,100.0,102.5,1.0,20,1000,1010,2.5,2.5,PARTIAL_TP
